time_s,position_um,time_s_filter,position_um_filter
6.897,2.829670015602455,6.896155561829474,2.8270937414588255
6.946,2.824788325117482,6.946345002823263,2.827935302820042
6.996,2.830151916220357,6.99651294243514,2.828557963120638
7.047,2.828932191641957,7.046659137963487,2.8289842156657072
7.096000000000001,2.822206945017952,7.096783346706689,2.829236553760344
7.145999999999999,2.832346081916396,7.14688532596313,2.8293374707096435
7.197,2.83106234078957,7.196964833031196,2.8293094598186985
7.248000000000001,2.833970942157921,7.247021625209269,2.8291750143926047
7.296999999999999,2.826941120935294,7.297055459795736,2.828956627736455
7.347000000000001,2.83028818112123,7.347066094088978,2.828676793155345
7.398000000000001,2.825973499176087,7.397053285387276,2.8283580039543255
7.447,2.8242086807103,7.446997711670374,2.8284627274174836
7.497,2.830184754145208,7.496878064726929,2.8277881086949415
7.547999999999999,2.827888936503999,7.546691075514767,2.827878283965332
7.596,2.829896482385276,7.596722458319604,2.827807594837253
7.646000000000001,2.825196884565992,7.6465930042496435,2.8265697705568935
7.696,2.825547147146309,7.696389669826631,2.8264353398676905
7.7459999999999996,2.827260705451336,7.7463422687151535,2.8266691505641064
7.796,2.8252678288481756,7.79645080091522,2.8272076276282516
7.846,2.829951296840729,7.846429552141111,2.827271039475886
7.896000000000001,2.827446200560377,7.896424648577853,2.8276449680228604
7.947,2.825000954330135,7.946526315789359,2.827792623135918
7.997,2.830451240057064,7.9965916966327715,2.827752400661725
8.048,2.824832862034403,8.046676691729209,2.828193443100388
8.096,2.825302389313165,8.096927427263697,2.828501825772956
8.147,2.834638498218567,8.146967963386611,2.828845034382986
8.198,2.83145324708628,8.196941157240811,2.828982201863956
8.247,2.827304268559355,8.2470424975481,2.8288869277197572
8.296,2.827943054167219,8.297035632559538,2.8285868746397957
8.347,2.8290201368130394,8.34700751879687,2.8282477332630287
8.397,2.8290159123175687,8.396898986596808,2.828106214386046
8.447,2.828374966330753,8.446849624060029,2.8280466409024325
8.497,2.827979364326153,8.49680026152325,2.827762831826559
8.547,2.826560535837392,8.546893756129329,2.8277132921828385
8.596,2.825783266169263,8.59698725073541,2.827231697420517
8.647,2.8271917982607495,8.646937888198632,2.826801243094618
8.698,2.824339369671081,8.696944426282975,2.8267701605828566
8.746,2.825522806367318,8.746985289310107,2.8268629697384937
8.797,2.829354964028249,8.79711637790115,2.82686371349223
8.847,2.827523577194555,8.847126185027658,2.8269758986812783
8.898,2.829753404614205,8.897160836874667,2.8270493559275454
8.947,2.826706550570366,8.947167701863226,2.8273589561546113
8.998,2.825867696320278,8.99720594965662,2.8276166237832685
9.046,2.827503122655951,9.047135992154166,2.8279129523610402
9.097,2.82771642353229,9.096995423340829,2.828013221922241
9.147,2.8256244492333873,9.146784243216603,2.8275993051595494
9.197,2.830598903052634,9.196757110166585,2.827583454240613
9.248,2.8293148974345637,9.246718535468975,2.8274818074106904
9.296,2.827719403230539,9.296584831644193,2.827386402136919
9.346,2.82665943243413,9.346415168355538,2.8277947599420235
9.396,2.828809694869271,9.396303040209082,2.828111834074825
9.446,2.826291563893371,9.446199084668056,2.8280507725788384
9.495,2.826509597975578,9.496109839816796,2.8278934056198923
9.546,2.825352411068213,9.546097744360765,2.827651039964496
9.597,2.825942736220656,9.595880353056414,2.827575703251206
9.647,2.832786902387372,9.645749918273808,2.8275683964802885
9.695,2.8301555695774545,9.695653808433988,2.827298327843403
9.746,2.828378483382455,9.745595292579132,2.8275461169696197
9.795,2.828390087347883,9.79566786531532,2.8275291722499754
9.846,2.82434283229522,9.845697613599071,2.8272952121266766
9.895,2.821960172696034,9.895709382150887,2.82707066961604
9.946,2.8290016910988434,9.945650539391812,2.8273213957703067
9.995,2.8282217234508606,9.995611310885764,2.827261446321764
10.045,2.828364870059497,10.045501471068835,2.8273295716470885
10.096,2.827419875472716,10.095463877083867,2.827198017068421
10.146,2.826379320177567,10.14542105263143,2.8267700396826103
10.196,2.827105697706521,10.195550179797172,2.826935085730728
10.246,2.824347973303952,10.245580581889357,2.8267231098368617
10.296,2.827215271201688,10.295707747629793,2.826907235962968
10.345,2.829821167855378,10.345782281791287,2.8270984122209417
10.395,2.8297382953543626,10.39599967309563,2.827114756544145
10.446,2.825621497869032,10.4461235697939,2.8264006755889777
10.496,2.827008342039902,10.496296829028942,2.82641602868621
10.546,2.824226129238791,10.546261523373499,2.8266235216576865
10.596,2.82364646900104,10.596355998692228,2.826831414745353
10.648,2.826651255194164,10.646374959136818,2.826915443015986
10.697,2.826004845890505,10.696548218371861,2.827036815280222
10.747,2.831619934381926,10.746639424648423,2.8269092855228535
10.797,2.826529973543525,10.79673553448824,2.826776551871832
10.847,2.8271782195465005,10.846889179470258,2.8273049090099573
10.896,2.825005033254461,10.896864007845542,2.827783342487679
10.946,2.8315992155731853,10.946855508335897,2.828551293034256
10.996,2.829311426503062,10.996804511278034,2.828770902552798
11.048,2.826911923788796,11.046797973193696,2.8290727984479087
11.096,2.827556661210729,11.096689767897844,2.8294007484668406
11.148,2.82919911426132,11.14656685191223,2.8291362182087227
11.196,2.828127697391265,11.19666230794361,2.8290862347084222
11.247,2.833629725962635,11.24663452108516,2.8288596284526526
11.297,2.832591740799908,11.296685518143022,2.8290612540440403
11.346,2.825900676928908,11.346728342595457,2.8289759428046244
11.397,2.829235911147691,11.396766263484631,2.8287814228242767
11.446,2.825841448472806,11.446768224909935,2.8282638128466018
11.497,2.829017119704758,11.496703170970738,2.828209130816253
11.546,2.829018179190848,11.546518470088095,2.8281964841007183
11.597,2.824030854170299,11.596484798953737,2.8278713468269743
